Player,Pos,Team,College
"Broeker, Nick",OG,Houston,Mississippi
"Bronson, Josiah",DT,New England,Washington
"Brooks, British",RB,Houston,North Carolina
"Brooks, Christopher",RB,Miami,Brigham Young
"Brooks, Jalen",WR,Dallas,South Carolina
"Brooks, Jonathon",RB,Carolina,Texas
"Brooks, Jordyn",LB,Miami,Texas Tech
"Brooks, Karl",DE,Green Bay,Bowling Green
"Brooks, Kendell",DB,Indianapolis,Michigan State
"Brooks, Mason",OT,Washington,Mississippi
"Brooks, Nate",DB,Cincinnati,North Texas
"Brooks, Natrone",DB,Atlanta,Southern Mississippi
"Brooks, Phillip",WR,Kansas City,Kansas State
"Brown, A.J.",WR,Philadelphia,Mississippi
"Brown, Ahmarean",WR,Cleveland,South Carolina
"Brown, Anthony",QB,Las Vegas,Oregon
"Brown, Ben",OG,Las Vegas,Mississippi
"Brown, Bobby",DT,LA Rams,Texas A&M
"Brown, Brittain",RB,Las Vegas,UCLA
"Brown, Cam",LB,Miami,Penn State
"Brown, Chase",RB,Cincinnati,Illinois
"Brown, Derrick",DT,Carolina,Auburn
"Brown, Dyami",WR,Washington,North Carolina
"Brown, Earnest",DE,Tampa Bay,Northwestern
"Brown, Evan",C,Arizona,Southern Methodist
"Brown, Ireland",C,Miami,Rutgers
"Brown, Ji'Ayir",DB,San Francisco,Penn State
"Brown, Kyron",DB,Buffalo,Akron
"Brown, Marquise",WR,Kansas City,Oklahoma
"Brown, Mike",DB,Tennessee,Miami (OH)
"Brown, Montaric",DB,Jacksonville,Arkansas
"Brown, Noah",WR,Houston,Ohio State
"Brown, Omar",DB,Denver,Nebraska
"Brown, Orlando",OT,Cincinnati,Oklahoma
"Brown, Pharaoh",TE,Seattle,Oregon
"Brown, Shakel",DT,San Francisco,Troy State
"Brown, Spencer",OT,Buffalo,Northern Iowa
"Brown, Sydney",DB,Philadelphia,Illinois
"Brown, Tanner",K,LA Rams,Oklahoma State
"Brown, Tony",DB,Cleveland,Alabama
"Brown, Tre",DB,Seattle,Oklahoma
"Brown, Trenton",OT,Cincinnati,Florida
"Browning, Baron",LB,Denver,Ohio State
"Browning, Jack",P,Buffalo,San Diego State
"Browning, Jake",QB,Cincinnati,Washington
"Brownlee, Jarvis",DB,Tennessee,Louisville
"Brownlee, Jason",WR,NY Jets,Southern Mississippi
"Brunskill, Daniel",OG,Tennessee,San Diego State
"Bruss, Logan",OG,LA Rams,Wisconsin
"Bryan, Taven",DT,Indianapolis,Florida
"Bryant, Austin",DL,San Francisco,Clemson
"Bryant, Coby",DB,Seattle,Cincinnati
"Bryant, Harrison",TE,Las Vegas,Florida Atlantic
"Bryant, Myles",DB,Houston,Washington
"Bryant, Pat",WR,Denver,Pittsburgh
"Buckner, DeForest",DT,Indianapolis,Oregon
"Buechele, Shane",QB,Buffalo,Southern Methodist
"Bullard, Javon",DB,Green Bay,Georgia
"Bullard, Jonathan",DE,Minnesota,Florida
"Bullock, Calen",DB,Houston,Southern California
"Bullock, Corey",OG,Baltimore,Maryland
"Burford, Spencer",OT,San Francisco,Texas-San Antonio
"Burgess, Cole",WR,Cincinnati,Cortland State
"Burks, Oren",LB,Philadelphia,Vanderbilt
"Burks, Treylon",WR,Tennessee,Arkansas
"Burnett, Deontay",WR,Dallas,Southern California
"Burney, Amari",LB,Las Vegas,Florida
"Burns, Artie",DB,Seattle,Miami
"Burns, Brian",LB,NY Giants,Florida State
"Burns, Robert",RB,Atlanta,Connecticut
"Burrow, Joe",QB,Cincinnati,Louisiana State
"Burton, Je'Quan",WR,Miami,Florida Atlantic
"Burton, Jermaine",WR,Cincinnati,Alabama
"Burton, Michael",RB,Denver,Rutgers
"Bush, Deon",DB,Kansas City,Miami
"Bush, Devin",LB,Cleveland,Michigan
"Butker, Harrison",K,Kansas City,Georgia Tech
"Butler, Adam",DT,Las Vegas,Vanderbilt
"Butler, Hakeem",WR,Cincinnati,Iowa State
"Butler, Josh",DB,Dallas,Michigan State
"Butler, Matthew",DT,Las Vegas,Tennessee
"Butler, Percy",DB,Washington,Louisiana-Lafayette
"Byard, Kevin",DB,Chicago,Middle Tennessee State
"Bynum, Camryn",DB,Minnesota,California
"Byrd, Damiere",WR,Washington,South Carolina
"Byrd, Henry",OG,Minnesota,Princeton
"Byrd, Solomon",DE,Houston,Southern California
