Player,Position,SeasonsPlayed,Weighted_Pts*_PerGame,Weighted_Passing_Yds_PerGame,Weighted_Passing_TD_PerGame,Weighted_Passing_Int_PerGame,Weighted_Rushing_Yds_PerGame,Weighted_Rushing_TD_PerGame,Weighted_Receiving_Rec_PerGame,Weighted_Receiving_Yds_PerGame,Weighted_Receiving_TD_PerGame,Weighted_Pts*,Weighted_Passing_Yds,Weighted_Passing_TD,Weighted_Passing_Int,Weighted_Rushing_Yds,Weighted_Rushing_TD,Weighted_Receiving_Rec,Weighted_Receiving_Yds,Weighted_Receiving_TD,Weighted_GamesPlayed,TotalWeight,ProjectedPointsPerGame,ProjectedPoints
Jeremy McNicholsJ. McNichols,RB,1,3.3230769230769233,0.0,0.0,0.0,17.723076923076924,0.27692307692307694,0.4846153846153846,1.523076923076923,0.0,43.2,0.0,0.0,0.0,230.4,3.6,6.299999999999999,19.8,0.0,11.700000000000001,0.65,3.3230769230769233,53.16923076923077
J.J. TaylorJ. Taylor,TE,2,0.8233333333333334,0.0,0.0,0.0,13.215555555555556,0.0,0.6755555555555556,1.0133333333333332,0.0,2.4699999999999998,0.0,0.0,0.0,37.36666666666667,0.0,1.7733333333333334,1.0133333333333332,0.0,2.596666666666667,0.75,0.8233333333333334,13.173333333333334
Mitchell TrubiskyM. Trubisky,RB,3,3.3492857142857146,45.41464285714286,0.23142857142857146,0.2892857142857143,1.9435714285714285,0.11571428571428573,0.0,0.0,0.0,18.675,260.14500000000004,1.26,1.575,9.72,0.63,0.0,0.0,0.0,5.265000000000001,1.0,3.3492857142857146,53.588571428571434
Tre TuckerT. Tucker,TE,2,4.041269841269842,0.0,0.0,0.0,3.65297619047619,0.0490079365079365,2.427777777777778,30.71289682539682,0.15079365079365079,52.56666666666667,0.0,0.0,0.0,44.175,0.6861111111111111,32.511111111111106,403.3805555555556,1.9,12.244444444444442,0.9,4.041269841269842,64.66031746031747
Jake BoboJ. Bobo,TE,2,1.1962962962962962,0.0,0.0,0.0,0.06597222222222222,0.021990740740740738,1.4249999999999998,12.945949074074074,0.043981481481481476,12.297222222222222,0.0,0.0,0.0,0.7916666666666665,0.2638888888888889,12.983333333333334,120.01666666666665,0.5277777777777778,8.655555555555555,0.9,1.1962962962962962,19.14074074074074
Velus JonesV. Jones,TE,3,0.26916666666666667,0.0,0.0,0.0,8.782222222222222,0.0,0.7863888888888888,6.301666666666667,0.010555555555555556,2.4225,0.0,0.0,0.0,24.7,0.0,2.1374999999999997,17.195,0.095,3.61,1.0,0.26916666666666667,4.306666666666667
Josh WhyleJ. Whyle,TE,2,1.9493506493506492,0.0,0.0,0.0,0.0,0.0,1.7738816738816736,17.20349927849928,0.10007215007215008,19.633333333333333,0.0,0.0,0.0,0.0,0.0,18.15555555555556,175.06388888888887,0.95,9.394444444444444,0.9,1.9493506493506492,31.189610389610387
Jauan JenningsJ. Jennings,WR,3,6.920634920634921,0.0,0.0,0.0,0.0,0.0,3.9206349206349205,53.06111111111111,0.33492063492063495,87.15,0.0,0.0,0.0,0.0,0.0,49.1,663.25,4.25,12.100000000000001,1.0,6.920634920634921,110.73015873015873
Dawson KnoxD. Knox,WR,3,2.81025641025641,0.0,0.0,0.0,0.0,0.0,1.9594017094017095,23.782478632478636,0.11623931623931624,34.2,0.0,0.0,0.0,0.0,0.0,23.25,290.95000000000005,1.4,12.0,1.0,2.81025641025641,44.96410256410256
Jermar JeffersonJ. Jefferson,TE,1,1.9,0.0,0.0,0.0,12.350000000000001,0.0,0.95,9.5,0.0,1.9,0.0,0.0,0.0,12.350000000000001,0.0,0.95,9.5,0.0,0.95,0.65,1.9,30.4
Zach GentryZ. Gentry,TE,1,0.6909090909090909,0.0,0.0,0.0,0.0,0.0,1.5545454545454547,9.413636363636362,0.0,7.6,0.0,0.0,0.0,0.0,0.0,17.099999999999998,103.55,0.0,10.45,0.1,0.6909090909090909,11.054545454545455
Byron PringleB. Pringle,TE,2,1.8698412698412699,0.0,0.0,0.0,0.0,0.0,1.4626984126984128,18.019841269841272,0.09047619047619047,13.70714285714286,0.0,0.0,0.0,0.0,0.0,11.942857142857143,144.53571428571428,0.5428571428571429,7.735714285714287,0.35,1.8698412698412699,29.917460317460318
Ainias SmithA. Smith,TE,1,0.0,0.0,0.0,0.0,0.95,0.0,1.4249999999999998,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,1.9,0.0,2.8499999999999996,5.699999999999999,0.0,1.9,0.65,0.0,0.0
Jared WileyJ. Wiley,TE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,6.649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,6.649999999999999,0.0,0.95,0.65,0.0,0.0
Daniel JonesD. Jones,QB,3,15.051666666666668,211.70187500000003,0.7667916666666666,0.809875,33.25666666666667,0.23695833333333335,0.0,0.0,0.0,152.955,2082.5750000000003,7.920000000000001,7.205,324.00500000000005,2.475,0.0,0.0,0.0,10.56,1.0,15.051666666666668,240.82666666666668
Mike DavisM. Davis,TE,1,0.19000000000000003,0.0,0.0,0.0,3.42,0.0,0.38000000000000006,0.7600000000000001,0.0,0.95,0.0,0.0,0.0,17.099999999999998,0.0,1.9,3.8,0.0,4.75,0.1,0.19000000000000003,3.0400000000000005
Skyy MooreS. Moore,TE,2,1.9710884353741498,0.0,0.0,0.0,1.7659013605442178,0.0,1.614030612244898,18.64455782312925,0.05654761904761905,24.428571428571427,0.0,0.0,0.0,22.121428571428574,0.0,20.22142857142857,233.42857142857142,0.6785714285714286,11.942857142857143,0.35,1.9710884353741498,31.537414965986397
Reggie GilliamR. Gilliam,TE,2,0.7464285714285714,0.0,0.0,0.0,0.0,0.0,1.2214285714285715,6.717857142857143,0.06785714285714287,2.9857142857142858,0.0,0.0,0.0,0.0,0.0,2.85,20.764285714285716,0.27142857142857146,1.7642857142857145,0.35,0.7464285714285714,11.942857142857143
Cole BeasleyC. Beasley,TE,1,0.2375,0.0,0.0,0.0,0.0,0.0,1.425,8.3125,0.0,0.95,0.0,0.0,0.0,0.0,0.0,5.7,33.25,0.0,3.8,0.1,0.2375,3.8
Benjamin SnellB. Snell,TE,1,4.75,0.0,0.0,0.0,28.5,0.31666666666666665,0.6333333333333333,5.383333333333334,0.0,14.25,0.0,0.0,0.0,85.5,0.95,1.9,16.15,0.0,2.85,0.1,4.75,76.0
Dare OgunbowaleD. Ogunbowale,RB,3,1.6479642857142858,0.0,0.0,0.0,6.956250000000002,0.009000000000000003,0.9792857142857144,9.562071428571429,0.04875,18.630000000000003,0.0,0.0,0.0,76.23,0.09000000000000001,11.16,110.07000000000001,0.5850000000000001,9.495000000000001,1.0,1.6479642857142858,26.367428571428572
Marcus JohnsonM. Johnson,TE,1,1.5833333333333333,0.0,0.0,0.0,0.0,0.0,1.9,19.95,0.0,4.75,0.0,0.0,0.0,0.0,0.0,5.7,59.85,0.0,2.85,0.1,1.5833333333333333,25.333333333333332
