game_count_2023,discounted_ci_lower,Avg_Fumble_Recoveries,game_count_2020,game_count_2024,name,weighted_game_count,ci_upper,Avg_Sacks,Avg_Defensive_TDs,ci_lower,pos,team,weighted_mean,game_count_2022,Player,Avg_Points_Allowed,Avg_Interceptions,game_count_2021
0.0,1.0125,,1.0,0.0,"Hart, Penny",0.2,1.875,,,1.125,,,1.5,3.0,"Hart, Penny",,,6.0
0.0,1.0125,,9.0,0.0,"Laird, Patrick",0.1153846153846153,1.875,,,1.125,,,1.5,0.0,"Laird, Patrick",,,3.0
0.0,1.0125,,0.0,2.0,"Smith, Ainias",0.6666666666666666,1.875,,,1.125,WR,Philadelphia,1.5,0.0,"Smith, Ainias",,,0.0
0.0,1.0125,,0.0,2.0,"Ali, Rasheen",0.6666666666666666,1.875,,,1.125,RB,Baltimore,1.5,0.0,"Ali, Rasheen",,,0.0
0.0,1.0125,,2.0,0.0,"Gandy-Golden, Antonio",0.0666666666666666,1.875,,,1.125,,,1.5,0.0,"Gandy-Golden, Antonio",,,0.0
0.0,1.0125,,0.0,4.0,"Vaki, Sione",0.8,1.875,,,1.125,DB,Detroit,1.5,0.0,"Vaki, Sione",,,0.0
9.0,0.9642857142857144,,0.0,0.0,"Spiller, Isaiah",0.3399999999999999,1.7857142857142858,,,1.0714285714285714,RB,LA Chargers,1.4285714285714286,5.0,"Spiller, Isaiah",,,0.0
3.0,0.9511363636363636,,10.0,0.0,"Smith, Keith",0.1782608695652174,1.7613636363636365,,,1.056818181818182,,,1.4090909090909092,1.0,"Smith, Keith",,,8.0
2.0,0.9449999999999998,,6.0,0.0,"Taylor, Trent",0.21875,1.75,,,1.0499999999999998,WR,San Francisco,1.4,7.0,"Taylor, Trent",,,0.0
0.0,0.9449999999999998,,0.0,5.0,"Reiman, Tip",0.8333333333333334,1.75,,,1.0499999999999998,TE,Arizona,1.4,0.0,"Reiman, Tip",,,0.0
13.0,0.928125,,6.0,0.0,"Williams, Trayveon",0.288,1.71875,,,1.03125,RB,Cincinnati,1.375,4.0,"Williams, Trayveon",,,1.0
1.0,0.9204545454545454,,3.0,0.0,"Cabinda, Jason",0.1916666666666666,1.7045454545454544,,,1.0227272727272727,,,1.3636363636363635,2.0,"Cabinda, Jason",,,5.0
0.0,0.9,,3.0,0.0,"Graham, Jaeden",0.075,1.6666666666666663,,,1.0,,,1.3333333333333333,0.0,"Graham, Jaeden",,,0.0
0.0,0.9,,1.0,0.0,"Phillips, Scottie",0.125,1.6666666666666663,,,1.0,,,1.3333333333333333,0.0,"Phillips, Scottie",,,2.0
0.0,0.9,,2.0,0.0,"Westbrook, Dede",0.16,1.6666666666666663,,,1.0,,,1.3333333333333333,0.0,"Westbrook, Dede",,,7.0
0.0,0.9,,1.0,0.0,"Ollison, Qadree",0.1571428571428571,1.6666666666666663,,,1.0,,,1.3333333333333333,0.0,"Ollison, Qadree",,,5.0
7.0,0.8859375,,0.0,0.0,"Ingram, Keaontay",0.3235294117647059,1.640625,,,0.984375,RB,Kansas City,1.3125,9.0,"Ingram, Keaontay",,,0.0
4.0,0.8826923076923078,,0.0,9.0,"Gray, Eric",0.7571428571428571,1.6346153846153846,,,0.9807692307692308,RB,NY Giants,1.3076923076923077,0.0,"Gray, Eric",,,0.0
1.0,0.8775000000000001,,4.0,0.0,"Gabbert, Blaine",0.1636363636363636,1.625,,,0.975,,,1.3,0.0,"Gabbert, Blaine",,,5.0
0.0,0.867857142857143,,6.0,0.0,"Yelder, Deon",0.1,1.6071428571428572,,,0.9642857142857144,,,1.2857142857142858,0.0,"Yelder, Deon",,,1.0
9.0,0.8526315789473684,,0.0,1.0,"Jones, Velus",0.365,1.5789473684210529,,,0.9473684210526316,WR,Chicago,1.263157894736842,9.0,"Jones, Velus",,,0.0
0.0,0.84375,,4.0,0.0,"Zuber, Isaiah",0.08,1.5625,,,0.9375,,,1.25,0.0,"Zuber, Isaiah",,,0.0
1.0,0.84375,,0.0,2.0,"Kinsey, Mason",0.54,1.5625,,,0.9375,WR,Tennessee,1.25,1.0,"Kinsey, Mason",,,0.0
0.0,0.84375,,0.0,4.0,"Matlock, Scott",0.8,1.5625,,,0.9375,DT,LA Chargers,1.25,0.0,"Matlock, Scott",,,0.0
0.0,0.84375,,0.0,8.0,"Haener, Jake",0.8888888888888888,1.5625,,,0.9375,QB,New Orleans,1.25,0.0,"Haener, Jake",,,0.0
0.0,0.84375,,0.0,0.0,"Hairston, Troy",0.24,1.5625,,,0.9375,RB,Houston,1.25,4.0,"Hairston, Troy",,,0.0
8.0,0.8171052631578948,,6.0,10.0,"Burton, Michael",0.4384615384615385,1.513157894736842,,,0.9078947368421052,RB,Denver,1.2105263157894737,5.0,"Burton, Michael",,,9.0
2.0,0.8099999999999999,,6.0,0.0,"Olszewski, Gunner",0.2238095238095238,1.5,,,0.8999999999999999,WR,NY Giants,1.2,9.0,"Olszewski, Gunner",,,3.0
0.0,0.8099999999999999,,5.0,0.0,"Shepherd, Darrius",0.0833333333333333,1.5,,,0.8999999999999999,,,1.2,0.0,"Shepherd, Darrius",,,0.0
1.0,0.7714285714285714,,0.0,6.0,"Fisk, Tucker",0.8,1.4285714285714284,,,0.8571428571428571,,,1.1428571428571428,0.0,"Fisk, Tucker",,,0.0
0.0,0.7363636363636363,,0.0,11.0,"Steele, Carson",0.9166666666666666,1.3636363636363635,,,0.8181818181818181,RB,Kansas City,1.0909090909090908,0.0,"Steele, Carson",,,0.0
0.0,0.726923076923077,,0.0,0.0,"Watt, Derek",0.25,1.346153846153846,,,0.8076923076923077,,,1.0769230769230769,9.0,"Watt, Derek",,,4.0
0.0,0.675,,0.0,2.0,"DuBose, Grant",0.6666666666666666,1.25,,,0.75,WR,Green Bay,1.0,0.0,"DuBose, Grant",,,0.0
1.0,0.675,,0.0,0.0,"Rader, Kevin",0.2,1.25,,,0.75,,,1.0,0.0,"Rader, Kevin",,,2.0
0.0,0.675,,0.0,0.0,"Harris, Jacob",0.15,1.25,,,0.75,WR,Philadelphia,1.0,1.0,"Harris, Jacob",,,0.0
0.0,0.675,,0.0,0.0,"Gray, Danny",0.1999999999999999,1.25,,,0.75,WR,San Francisco,1.0,2.0,"Gray, Danny",,,0.0
0.0,0.675,,0.0,1.0,"Davidson, Zach",0.5,1.25,,,0.75,TE,Buffalo,1.0,0.0,"Davidson, Zach",,,0.0
0.0,0.675,,2.0,0.0,"Cox, Chandler",0.0666666666666666,1.25,,,0.75,,,1.0,0.0,"Cox, Chandler",,,0.0
0.0,0.675,,0.0,1.0,"Keyton, Ramel",0.5,1.25,,,0.75,WR,Las Vegas,1.0,0.0,"Keyton, Ramel",,,0.0
0.0,0.675,,0.0,1.0,"Pryor, Kendric",0.5,1.25,,,0.75,WR,Cincinnati,1.0,0.0,"Pryor, Kendric",,,0.0
0.0,0.675,,1.0,0.0,"Dillon, Brandon",0.05,1.25,,,0.75,,,1.0,0.0,"Dillon, Brandon",,,0.0
0.0,0.675,,1.0,0.0,"Nauta, Isaac",0.05,1.25,,,0.75,,,1.0,0.0,"Nauta, Isaac",,,0.0
1.0,0.675,,0.0,0.0,"Hull, Evan",0.2,1.25,,,0.75,RB,Indianapolis,1.0,0.0,"Hull, Evan",,,0.0
0.0,0.675,,0.0,1.0,"FitzPatrick, John",0.5,1.25,,,0.75,TE,Atlanta,1.0,0.0,"FitzPatrick, John",,,0.0
0.0,0.675,,0.0,1.0,"McAllister, Tyreik",0.5,1.25,,,0.75,RB,Las Vegas,1.0,0.0,"McAllister, Tyreik",,,0.0
0.0,0.675,,0.0,2.0,"McClellan, Jase",0.6666666666666666,1.25,,,0.75,RB,Atlanta,1.0,0.0,"McClellan, Jase",,,0.0
0.0,0.675,,0.0,0.0,"McMath, Racey",0.2,1.25,,,0.75,WR,Dallas,1.0,2.0,"McMath, Racey",,,2.0
0.0,0.675,,0.0,1.0,"Bell, Jaheim",0.5,1.25,,,0.75,TE,New England,1.0,0.0,"Bell, Jaheim",,,0.0
0.0,0.675,,2.0,0.0,"Bellamy, LeVante",0.0666666666666666,1.25,,,0.75,,,1.0,0.0,"Bellamy, LeVante",,,0.0
0.0,0.675,,0.0,0.0,"Sanders, Braylon",0.15,1.25,,,0.75,WR,Miami,1.0,1.0,"Sanders, Braylon",,,0.0
0.0,0.675,,1.0,0.0,"Miller, Bruce",0.05,1.25,,,0.75,,,1.0,0.0,"Miller, Bruce",,,0.0
1.0,0.675,,0.0,0.0,"Lassiter, Kwamie",0.2,1.25,,,0.75,WR,Cincinnati,1.0,0.0,"Lassiter, Kwamie",,,0.0
0.0,0.675,,0.0,1.0,"Shenker, Samuel",0.5,1.25,,,0.75,,,1.0,0.0,"Shenker, Samuel",,,0.0
0.0,0.675,,0.0,0.0,"Winston, Easop",0.1,1.25,,,0.75,WR,Seattle,1.0,0.0,"Winston, Easop",,,1.0
0.0,0.675,,0.0,1.0,"Wiley, Jared",0.5,1.25,,,0.75,TE,Kansas City,1.0,0.0,"Wiley, Jared",,,0.0
0.0,0.675,,2.0,0.0,"Moncrief, Donte",0.0666666666666666,1.25,,,0.75,,,1.0,0.0,"Moncrief, Donte",,,0.0
0.0,0.675,,0.0,0.0,"Kelly, John",0.1,1.25,,,0.75,RB,Cleveland,1.0,0.0,"Kelly, John",,,1.0
0.0,0.675,,0.0,0.0,"Alexander, Maurice",0.15,1.25,,,0.75,WR,Detroit,1.0,1.0,"Alexander, Maurice",,,0.0
0.0,0.675,,3.0,0.0,"Keene, Dalton",0.075,1.25,,,0.75,TE,Houston,1.0,0.0,"Keene, Dalton",,,0.0
0.0,0.675,,0.0,0.0,"Schreck, Mason",0.1999999999999999,1.25,,,0.75,,,1.0,2.0,"Schreck, Mason",,,0.0
0.0,0.675,,2.0,0.0,"Butt, Jake",0.0666666666666666,1.25,,,0.75,,,1.0,0.0,"Butt, Jake",,,0.0
0.0,0.675,,0.0,0.0,"Camp, Jalen",0.15,1.25,,,0.75,WR,Cleveland,1.0,1.0,"Camp, Jalen",,,0.0
0.0,0.675,,0.0,1.0,"Jennings, Terrell",0.5,1.25,,,0.75,RB,New England,1.0,0.0,"Jennings, Terrell",,,0.0
0.0,0.675,,0.0,1.0,"Martin-Robinson, David",0.5,1.25,,,0.75,TE,Tennessee,1.0,0.0,"Martin-Robinson, David",,,0.0
