GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2021112500,2021-11-25,4,1,54,CHI,DET,3,4,89,,1,,0,"(1:54) (SHOTGUN) 14-A.DALTON PASS SHORT LEFT TO 10-D.BYRD TO DET 4 FOR 7 YARDS (25-W.HARRIS).",0,,,2021,7,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,11,OPP,0,,0,,0
2021112500,2021-11-25,4,1,5,,,0,0,100,,1,,0,"TIMEOUT #3 BY DET AT 01:05.",0,,,2021,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112500,2021-11-25,4,1,5,CHI,DET,2,7,93,,0,,0,"(1:05) 14-A.DALTON KNEELS TO DET 9 FOR -2 YARDS.",0,,,2021,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,7,OPP,0,,0,,0
2021112500,2021-11-25,4,0,29,CHI,DET,3,9,91,,0,,0,"(:29) 14-A.DALTON KNEELS TO DET 10 FOR -1 YARDS.",0,,,2021,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,9,OPP,0,,0,,0
2021112500,2021-11-25,4,0,1,,,0,0,100,,1,,0,"TIMEOUT #2 BY CHI AT 00:01.",0,,,2021,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112501,2021-11-25,2,2,0,,,0,0,100,,1,,0,"TWO-MINUTE WARNING",0,,,2021,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112501,2021-11-25,2,2,0,DAL,LV,1,10,78,,0,,0,"(2:00) (SHOTGUN) DIRECT SNAP TO 20-T.POLLARD.  20-T.POLLARD RIGHT END TO LV 19 FOR 3 YARDS (39-N.HOBBS).",0,,,2021,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
2021112501,2021-11-25,2,0,49,DAL,LV,3,2,86,,1,,0,"(:49) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 20-T.POLLARD FOR 14 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER BROKE THE PLANE RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 20-T.POLLARD TO LV 1 FOR 13 YARDS (39-N.HOBBS).",0,,,2021,14,SHOTGUN,PASS,0,1,0,1,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,14,OPP,0,,0,,0
2021112501,2021-11-25,3,0,7,LV,DAL,1,10,58,,0,,0,"(:07) (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP RIGHT TO 7-Z.JONES.",0,,,2021,0,SHOTGUN,PASS,0,1,1,0,"DEEP RIGHT",0,0,0,,0,0,0,0,0,0,,42,OPP,0,,0,,0
2021112501,2021-11-25,3,0,2,,,0,0,100,,1,,0,"TIMEOUT #1 BY LV AT 00:02.",0,,,2021,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
