Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Rashod BatemanR. Bateman,PIT@BAL,7.00,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0
Michael BurtonM. Burton,DEN@LAC,7.00,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0
Tyler HigbeeT. Higbee,LA@NYJ,7.00,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
Ryan MillerR. Miller,TB@DAL,7.00,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0
Cordarrelle PattersonC. Patterson,PIT@BAL,7.00,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0
Nick WestbrookN. Westbrook,TEN@IND,7.00,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0
Calvin AustinC. Austin,PIT@BAL,6.00,0,0,0,0,0,0,0,0,0,0,4,65,0,0,0,0
Nico CollinsN. Collins,HOU@KC,6.00,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
DeeJay DallasD. Dallas,ARI@CAR,6.00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ezekiel ElliottE. Elliott,TB@DAL,6.00,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Mike EvansM. Evans,TB@DAL,6.00,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
Cole KmetC. Kmet,DET@CHI,6.00,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0
Marvin MimsM. Mims,DEN@LAC,6.00,0,0,0,0,0,0,1,3,0,0,3,62,0,0,0,0
Joe MixonJ. Mixon,HOU@KC,6.00,0,0,0,0,0,0,14,57,0,0,1,14,0,0,0,0
D.J. MooreD. Moore,DET@CHI,6.00,0,0,0,0,0,0,1,2,0,0,7,68,0,0,0,0
Malik NabersM. Nabers,NYG@ATL,6.00,0,0,0,0,0,0,0,0,0,0,7,68,0,0,0,0
David NjokuD. Njoku,CLE@CIN,6.00,0,0,0,0,0,0,0,0,0,0,8,66,0,0,0,0
Rome OdunzeR. Odunze,DET@CHI,6.00,0,0,0,0,0,0,0,0,0,0,4,77,0,0,1,0
Josh PalmerJ. Palmer,DEN@LAC,6.00,0,0,0,0,0,0,0,0,0,0,3,41,0,1,0,0
Michael PenixM. Penix,NYG@ATL,6.00,27,18,202,0,1,0,4,3,0,0,0,0,0,0,0,0
MyCole PruittM. Pruitt,PIT@BAL,6.00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Wan'Dale RobinsonW. Robinson,NYG@ATL,6.00,0,0,0,0,0,0,0,0,0,0,7,62,0,0,0,0
Eric SaubertE. Saubert,SF@MIA,6.00,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Jonnu SmithJ. Smith,SF@MIA,6.00,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0
Dorian Thompson-RobinsonD. Thompson-Robinson,CLE@CIN,6.00,34,20,157,0,2,0,9,49,0,0,0,0,0,0,0,0
Tyler ConklinT. Conklin,LA@NYJ,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
